start	end	text
0	10000	Alle Fan-Theorien, die ich bis jetzt gesehen habe, sowohl im englisch als auch deutschsprachigen Raum und ich habe mich meine Zeit lang da auch hingesetzt und mir die anderen so reingezogen, denen fehlt was.
10000	19000	Also die Guten, die kommen schon ziemlich weit mit ihren Ideen, aber denen fehlt was und zwar der mathematische Background, konkret der gödelische Unvollständigkeitstheorie.
31000	39000	Ihr kennt das alle noch von früher, aus der Schule, da gab es so Interpretationen im Deutschunterricht zum Beispiel.
39000	50000	Und dann gab es immer so diese Trollfrage, die sich gestellt hat, naja, der Lehrer sagte jetzt sowas wie, damit ist das und das gemeint oder da mit dieser Metapher ist das und das gemeint.
50000	58000	Und man dachte sich immer so, naja, der Künstler war vielleicht einfach nur auf einem Trip und hat sich das ausgedacht und hat sich dabei vielleicht gar nichts gedacht.
58000	68000	Und genau so geht es mir mit meiner Theorie, mit meiner Fan-Theorie zu Matrix und den Sequels.
68000	81000	Und ich habe mein halbes Leben über Matrix nachgedacht und Matrix war für mich auch so ein richtiger Auslöser über Philosophie und Mathematik richtig nachzudenken.
81000	87000	Und ich habe halt wirklich die letzten 20 Jahre im Wesentlichen über solche Dinge immer mal wieder nachgedacht.
87000	100000	Und jetzt habe ich das Problem, dass Matrix 4 der Trailer released wurde und natürlich völlig klar ist, dass sich da eventuell herausstellt,
100000	113000	dass jetzt das offizielle Frennscheiß, weil es ja auch von Lena Wachowski, glaube ich, in sich in eine andere Richtung entwickelt, als meine Fan-Theorie das hergibt.
113000	126000	Und vielleicht manche Sachen, manche Hins und manche stilistischen Mittel von mir in meiner Interpretation von Matrix überhaupt nur Zufall waren und gar nicht so gemeint waren, wie ich das interpretiert habe.
126000	134000	Und damit das alles völlig klar ist, wie ich das meine, muss ich jetzt, also ich fühle mich genötig, dazu jetzt mein deutsches Video zu diesem Thema zu machen.
134000	142000	Denn es ist ganz einfach so, alle Fan-Theorien, die ich bis jetzt gesehen habe, sowohl im englisch als auch deutschsprachigen Raum,
