start	end	text
0	2000	Now, I'm going to show you how to do it.
2000	4000	I'm going to show you how to do it.
4000	6000	I'm going to show you how to do it.
6000	8000	I'm going to show you how to do it.
8000	10000	I'm going to show you how to do it.
10000	12000	I'm going to show you how to do it.
12000	14000	I'm going to show you how to do it.
14000	16000	I'm going to show you how to do it.
16000	18000	I'm going to show you how to do it.
18000	20000	I'm going to show you how to do it.
20000	22000	I'm going to show you how to do it.
22000	24000	I'm going to show you how to do it.
24000	26000	I'm going to show you how to do it.
26000	28000	I'm going to show you how to do it.
28000	30000	I'm going to show you how to do it.
30000	32000	I'm going to show you how to do it.
36000	38000	I'm going to show you how to do it In this case,
38000	40000	I'm going to show you how to do it.
40000	42000	It took turn to do it especially
42000	44000	In the next class,
44000	46000	I'm going to see how to do it in one daha,
46000	48000	So, we'll change the procedure.
48000	50000	We're string'm to sing it in S drinking
50000	52000	on this body here.
52000	54000	This face too,
54000	56000	I pull this face here.
56000	62000	Then I would like to ask you if you would like to say something in English or in other languages?
62000	65000	I would like to ask you if you would like to say something in English or in other languages?
65000	68000	I would like to ask you if you would like to say something in English or in other languages?
68000	71000	I would like to ask you if you would like to say something in English or in other languages?
71000	73000	I would like to ask you if you would like to say something in English or in other languages?
73000	75000	I would like to ask you if you would like to say something in English or in other languages?
75000	77000	I would like to ask you if you would like to say something in English or in other languages?
77000	79000	I would like to ask you if you would like to say something in English or in other languages?
79000	81000	I would like to ask you if you would like to say something in English or in other languages?
81000	83000	I would like to ask you if you would like to say something in English or in other languages?
83000	85000	I would like to ask you if you would like to say something in English or in other languages?
85000	87000	I would like to ask you if you would like to say something in English or in other languages?
87000	89000	I would like to ask you if you would like to say something in English or in other languages?
89000	91000	I would like to ask you if you would like to say something in English or in other languages?
91000	93000	I would like to ask you if you would like to say something in English or in other languages?
93000	95000	I would like to ask you if you would like to say something in English or in other languages?
95000	97000	I would like to ask you if you would like to say something in English or in other languages?
97000	99000	I would like to ask you if you would like to say something in English or in other languages?
99000	101000	I would like to ask you if you would like to say something in English or in other languages?
101000	103000	I would like to ask you if you would like to say something in English or in other languages?
103000	105000	I would like to ask you if you would like to say something in English or in other languages?
105000	107000	I would like to ask you if you would like to say something in English or in other languages?
107000	109000	I would like to ask you if you would like to say something in English or in other languages?
109000	111000	I would like to ask you if you would like to say something in English or in other languages?
111000	113000	I would like to ask you if you would like to say something in English or in other languages?
113000	115000	I would like to ask you if you would like to say something in English or in other languages?
115000	117000	I would like to ask you if you would like to say something in English or in other languages?
117000	119000	I would like to ask you if you would like to say something in English or in other languages?
119000	121000	I would like to ask you if you would like to say something in English or in other languages?
121000	123000	I would like to ask you if you would like to say something in English or in other languages?
123000	125000	I would like to ask you if you would like to say something in English or in other languages?
125000	127000	I would like to ask you if you would like to say something in English or in other languages?
127000	129000	I would like to ask you if you would like to say something in English or in other languages?
129000	131000	I would like to ask you if you would like to say something in English or in other languages?
131000	133000	I would like to ask you if you would like to say something in English or in other languages?
133000	135000	I would like to ask you if you would like to say something in English or in other languages?
135000	137000	I would like to ask you if you would like to say something in English or in other languages?
137000	139000	I would like to ask you if you would like to say something in English or in other languages?
139000	141000	I would like to ask you if you would like to say something in English or in other languages?
141000	143000	I would like to ask you if you would like to say something in English or in other languages?
143000	145000	I would like to ask you if you would like to say something in English or in other languages?
145000	147000	I would like to ask you if you would like to say something in English or in other languages?
147000	149000	I would like to ask you if you would like to say something in English or in other languages?
149000	151000	I would like to ask you if you would like to say something in English or in other languages?
151000	153000	I would like to ask you if you would like to say something in English or in other languages?
153000	155000	I would like to ask you if you would like to say something in English or in other languages?
155000	157000	I would like to ask you if you would like to say something in English or in other languages?
157000	159000	I would like to ask you if you would like to say something in English or in other languages?
159000	161000	I would like to ask you if you would like to say something in English or in other languages?
161000	163000	I would like to ask you if you would like to say something in English or in other languages?
163000	165000	I would like to ask you if you would like to say something in English or in other languages?
165000	167000	I would like to ask you if you would like to say something in English or in other languages?
167000	169000	I would like to ask you if you would like to say something in English or in other languages?
169000	171000	I would like to ask you if you would like to say something in English or in other languages?
171000	173000	I would like to ask you if you would like to say something in English or in other languages?
173000	175000	I would like to ask you if you would like to say something in English or in other languages?
175000	177000	I would like to ask you if you would like to say something in English or in other languages?
177000	179000	I would like to ask you if you would like to say something in English or in other languages?
179000	181000	I would like to ask you if you would like to say something in English or in other languages?
181000	183000	I would like to ask you if you would like to say something in English or in other languages?
183000	185000	I would like to ask you if you would like to say something in English or in other languages?
185000	187000	I would like to ask you if you would like to say something in English or in other languages?
187000	189000	I would like to ask you if you would like to say something in English or in other languages?
189000	191000	I would like to ask you if you would like to say something in English or in other languages?
191000	193000	I would like to ask you if you would like to say something in English or in other languages?
193000	195000	I would like to ask you if you would like to say something in English or in other languages?
195000	197000	I would like to ask you if you would like to say something in English or in other languages?
197000	199000	I would like to ask you if you would like to say something in English or in other languages?
199000	201000	I would like to ask you if you would like to say something in English or in other languages?
201000	203000	I would like to ask you if you would like to say something in English or in other languages?
203000	205000	I would like to ask you if you would like to say something in English or in other languages?
205000	207000	I would like to ask you if you would like to say something in English or in other languages?
207000	209000	I would like to ask you if you would like to say something in English or in other languages?
209000	211000	I would like to ask you if you would like to say something in English or in other languages?
211000	213000	I would like to ask you if you would like to say something in English or in other languages?
213000	215000	I would like to ask you if you would like to say something in English or in other languages?
215000	217000	I would like to ask you if you would like to say something in English or in other languages?
217000	219000	I would like to ask you if you would like to say something in English or in other languages?
219000	221000	I would like to ask you if you would like to say something in English or in other languages?
221000	223000	I would like to ask you if you would like to say something in English or in other languages?
223000	225000	I would like to ask you if you would like to say something in English or in other languages?
225000	227000	I would like to ask you if you would like to say something in English or in other languages?
227000	229000	I would like to ask you if you would like to say something in English or in other languages?
229000	231000	I would like to ask you if you would like to say something in English or in other languages?
231000	233000	I would like to ask you if you would like to say something in English or in other languages?
233000	235000	I would like to ask you if you would like to say something in English or in other languages?
235000	237000	I would like to ask you if you would like to say something in English or in other languages?
237000	239000	I would like to ask you if you would like to say something in English or in other languages?
239000	241000	I would like to ask you if you would like to say something in English or in other languages?
241000	243000	I would like to ask you if you would like to say something in English or in other languages?
243000	245000	I would like to ask you if you would like to say something in English or in other languages?
245000	247000	I would like to ask you if you would like to say something in English or in other languages?
247000	249000	I would like to ask you if you would like to say something in English or in other languages?
249000	251000	I would like to ask you if you would like to say something in English or in other languages?
251000	253000	I would like to ask you if you would like to say something in English or in other languages?
253000	255000	I would like to ask you if you would like to say something in English or in other languages?
255000	257000	I would like to ask you if you would like to say something in English or in other languages?
257000	259000	I would like to ask you if you would like to say something in English or in other languages?
259000	261000	I would like to ask you if you would like to say something in English or in other languages?
