start	end	text
0	20380	so was ist jetzt eigentlich das chinesische zimmer ja vielleicht kennt er
20380	26700	ja den klassischen touring test der funktioniert so dass eine künstliche
26700	34180	intelligenz in einem raum sitzt und in einem anderen raum sitzt ein mensch und
34180	37500	beide sind verbunden mit bildschirm und tastatur und können miteinander
37500	45940	schreiben und der touring test ist ein test der sagen soll ob eine künstliche
45940	51300	intelligenz den status erreicht hat dass sie tatsächlich dass man von künstlicher
51300	55380	intelligenz sprechen kann sprich dass der mensch auf der anderen seite nach
55380	60540	einer beliebigen zeit so lange wie auch braucht wenn er sich sicher ist dass da
60540	64100	drüben ist ein mensch oder dass da drüben ist ein computer dann ist der
64100	69420	test beendet und ja und dann würde ich jetzt vermuten man macht viele versuche
69420	74020	mit vielen menschen und kann sich dann sozusagen approximate man kann sozusagen
74020	78060	approximation machen wie hoch ist die wahrscheinlichkeit dass man von einer
78060	80860	künstlichen intelligenz reden kann so habe ich das immer interpretiert mit
80860	84140	touring ich habe natürlich keine theoretische informatik studiert oder so
84140	88500	deswegen kann ich da auch nicht viel mehr zu sagen aber was ich sagen kann
88500	94580	ist als ich mich irgendwann eingelesen habe in die thematik zum bewusst sein
94580	99140	und zum freien willen und dem ganzen kram da bin ich auch über das chinesische
99140	103620	zimmer gestolpert und das chinesische zimmer ist meiner meinung nach genau das
103620	107820	was passiert wenn leute die eigentlich keine große ahnung haben aber denken
107820	111780	sie sind total intellektuell sich total gutes gedanken gedankenexperiment
111780	117380	ausdenken und zwar wie funktioniert das das chinesische zimmer man stellt sich
117380	126180	vor man hat eine box da sitzt ein typ drin und er hat bücher richtig viele und
126180	131540	der typ kann kein chinesisch und jetzt kommt ein chineser außen an klopft an
131540	136420	die box und legt eine frage rein eine chinesische frage mit chinesischen
136420	141580	schriftzeichen und der typ da drin nimmt jetzt den zettel und guckt in seinen
141580	149100	büchern nach und in seinen büchern sind alle kombinationen aufgelistet alle
149100	152940	kombinationen von chinesischen schriftzeichen die eine frage geben sind
152940	158700	da aufgelistet und dann guckt er drauf findet die antwort findet die frage in
158700	162820	dem buch steht zu dieser frage eine antwort dann sucht er den zettel mit der
162820	167260	antwort oder schreibt selber auf und gibt das als output wieder raus und jetzt
167260	171660	ist das experiment ist deswegen so interessant für leute weil man könnte
171660	177380	argumentieren der typ da drin der hat ja keine ahnung von chinesisch aber von
177380	181780	außen betrachtet könnte man meinen da drin handelt es sich um jemanden der
181780	188060	chinesisch kann diese illusion besteht ja und damit wollte der typ der das
188060	193860	chinesische zimmer sich überlegt hat darauf hinweisen dass das problem
194300	199740	natürlich mit der ja mit dem bewusstsein und mit dem verstehen und dass das ja
199740	203380	eigentlich vielleicht eine illusion ist aber mein großer kritikpunkt an dem
203380	208500	ganzen gedankenexperiment ist dass alle leute die sich das experiment reinziehen
208500	211940	und darüber nachdenken schon implizit reinstecken dass wir einen freien willen
211940	215780	haben das ist offensichtlich das problem also
